,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
729,100000,167.0,3769,16.342347681999996,"[4, 3, 1, 4, 1, 1, 4, 2, 4, 4]",110,100000,109
730,0,89.0,3769,16.407023036,"[4, 1, 1, 0, 3, 1, 3, 2, 1, 0]",110,100000,110
731,100000,207.0,3812,16.535344574999996,"[4, 2, 3, 4, 4, 3, 4, 2, 4, 2]",110,100000,110
732,0,94.0,0,0.00013018500000328004,"[0, 4, 2, 1, 0, 1, 1, 0, 1, 4]",130,100000,0
733,100000,195.0,34,0.07574779700000533,"[4, 4, 4, 4, 4, 2, 1, 1, 1, 4]",130,100000,0
734,0,0.0,34,0.1508814049999998,"[3, 4, 1, 2, 4, 3, 4, 4, 4, 3]",130,100000,1
735,100000,170.0,46,0.2276972830000048,"[3, 4, 1, 2, 0, 3, 4, 4, 4, 3]",130,100000,1
736,0,96.0,46,0.30140584600000153,"[2, 0, 3, 2, 2, 0, 1, 0, 2, 2]",130,100000,2
737,100000,168.0,74,0.38093187700000186,"[2, 3, 4, 3, 2, 0, 4, 4, 2, 3]",130,100000,2
738,0,153.0,74,0.45691165400000244,"[0, 2, 2, 0, 4, 3, 4, 0, 4, 3]",130,100000,3
739,100000,220.0,128,0.5369058090000038,"[0, 2, 4, 4, 4, 4, 4, 2, 4, 3]",130,100000,3
740,0,74.0,128,0.6175628360000047,"[0, 4, 0, 3, 2, 0, 0, 1, 1, 0]",130,100000,4
741,100000,201.0,162,0.6983446569999998,"[0, 4, 4, 3, 2, 4, 3, 4, 1, 4]",130,100000,4
742,0,135.0,162,0.7750898530000043,"[0, 2, 4, 0, 4, 3, 3, 0, 0, 3]",130,100000,5
743,100000,212.0,196,0.8547959039999995,"[4, 2, 4, 4, 4, 4, 3, 4, 0, 3]",130,100000,5
744,0,105.0,196,0.9320221550000056,"[1, 2, 0, 3, 0, 2, 4, 3, 2, 1]",130,100000,6
745,100000,188.0,234,1.0051575250000013,"[1, 4, 2, 3, 2, 2, 4, 4, 4, 3]",130,100000,6
746,0,143.0,234,1.0817879539999993,"[3, 2, 1, 4, 4, 4, 0, 0, 2, 0]",130,100000,7
747,100000,211.0,287,1.1686949770000012,"[4, 4, 2, 4, 4, 4, 0, 1, 3, 4]",130,100000,7
748,0,154.0,287,1.2491235399999994,"[1, 4, 1, 2, 2, 3, 1, 2, 2, 4]",130,100000,8
749,100000,198.0,312,1.3289161070000048,"[2, 4, 3, 3, 2, 4, 2, 3, 2, 4]",130,100000,8
750,0,61.0,312,1.4076277390000058,"[2, 0, 2, 3, 0, 0, 1, 0, 0, 2]",130,100000,9
751,100000,194.0,364,1.492981026999999,"[2, 4, 2, 3, 3, 4, 3, 2, 4, 2]",130,100000,9
752,0,151.0,364,1.5724319920000056,"[4, 1, 2, 3, 4, 1, 0, 4, 1, 2]",130,100000,10
753,100000,213.0,399,1.6564324890000037,"[4, 4, 4, 3, 4, 4, 2, 4, 1, 2]",130,100000,10
754,0,155.0,399,1.7333040160000053,"[3, 0, 2, 3, 3, 3, 1, 3, 2, 2]",130,100000,11
755,100000,201.0,430,1.8162339980000013,"[3, 3, 3, 3, 4, 3, 4, 3, 2, 3]",130,100000,11
